Compound_ID,structure,tPSA,CLogP,text
HW183009,C=CC(=O)NCC1=NN(C2=CC=C(C(F)(F)F)C=C2)C2=C1C=C(P(C)(C)=O)C=C2,61.77,1.02641,H226 IC50 (nM)=3323(180002:49.2)
HW183008,C=CC(=O)NCC1=NN(C2=CC=C(OC(F)(F)F)C=C2)C2=C1C(P(C)(C)=O)=CC=N2,83.36,0.0340196,"H226 IC50 (nM)=40.7×6(180002:49.2)
                          177(180002:21.7)
Solubility(ug/ml):223/ (pH 1.6); 
407/ (pH 6.5); 150/ (pH 7.4)"
HW183007,C=C(F)C(=O)N1CC(N2N=C(C3=CCC(C(F)(F)F)CC3)C3=C2C(C(O)CO)=CC=N3)C1,,1.31962,
HW183006,C=C(F)C(=O)N1CC(C2=NN(C3=CC=C(C(F)(F)F)C=C3)C3=C2C(S(C)(=N)=O)=CC=N3)C1,89.19,1.32425,"H226 IC50 (nM)=22(180002:13)
AUC0-t(h*ng/ml)=266(mou)
hERG IC50 = 2.8 uM"
HW183005,C=CC(=O)NCC1=NN(C2=CCC(C(F)(F)F)CC2)C2=C1C(C(O)CO)=CC=N2,,,*
HW183012,C=CC(=O)N1CCC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2C=CC=C1,40.62,2.652,"H226 IC50 (nM)=90.4(180002:49.2),Top=74%
P1:  IC50 > 10uM
P2:  IC50 (nM)=62.7(180002:21.7)
AUC0-t(h*ng/ml)=1196(mou)
Solubility(ug/ml):3.6/ (pH 1.6); 
11.5/ (pH 6.5); 2.9/ (pH 7.4)"
HW183014,C=C(F)C(=O)N1CC(C2=NN(C3=CC=C(C(F)(F)F)C=C3)C3=C2C(CS(C)(=N)=O)=CC=C3)C1,76.83,2.84541,
HW183011,C=CC(=O)N1CCC2(CC1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,52.98,0.991,H226 IC50 (nM)=57(180002:17)
HW183010,C=CC(=O)N1CC2(C1)CN(C1=CC=C(OC(F)(F)F)C=C1)C1=C2C(C(O)CO)=CC=N1,85.6,1.57435,
HW183013,C=CC(=O)NCC1=NN(C2=CC=C(OC(F)(F)F)C=C2)C2=C1C(S(C)(=N)=O)=CC=N2,107.21,0.98402,H226 IC50 (nM)=520(180002:38)
HW183016,C=CC(=O)N1CCC2(C1)CN(C1=CC=C(C(F)(F)F)C=C1)C1=C2C=CC=C1,23.55,4.9159,"H226 IC50 (nM)=134(180002:38)
AUC0-t(h*ng/ml)=7903(mou)"
HW183015,C=CC(=O)N1CCC2(C1)C(=O)N(C1=CC=C(OC(F)(F)F)C=C1)C1=C2C=CC=C1,49.85,2.797,H226 IC50 (nM)=113(180002:21.7)
HW183017,C=C(F)C(=O)N1CC(C2=NN(C3=CC=C(OC(F)(F)F)C=C3)C3=C2C(P(C)(C)=O)=CC=N3)C1,74.57,0.63802,"H226 IC50 (nM)=50(180002:21.7)
AUC0-t(h*ng/ml)=14400(mou),16542(Rat),6327(Dog)
Fu (%) H/R/Mou/D/Mon= 1.93/2.35/2.49/1.71/2.49
hERG IC50=4.5 uM
MMS(T1/2 min)H/R/Mou/D/Mon
64/233/75/135/40
Solubility(ug/ml):9.3/ (pH 1.6); 94/ (pH 6.5); 6.9/ (pH 7.4)"
HW183019,C=CC(=O)N1CCC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,52.98,1.155,"H226 IC50 (nM)=66.3(180002:38)
Solubility(ug/ml):103/(pH 1.6); 149/(pH 6.5); 64/(pH 7.4)
AUC0-t(h*ng/ml)=1368(mou,F%=128.6)"
HW183018,C=CC(=O)N1CCC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2C=CC=N1,52.98,1.155,"H226 IC50 (nM)=56(180002:38)
AUC0-t(h*ng/ml)=1287(mou)"
HW183021,C=C(F)C(=O)N1CC(C2=NN(C3=CC=C(C(F)(F)F)C=C3)C3=C2C(P(=O)(CC)CC)=CC=N3)C1,65.34,1.27225,
HW183020,C=CC(=O)N1CCC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=N1,65.34,0.198,"H226 IC50 (nM)=412(180002:38)
Solubility(ug/ml):874/(pH 1.6); 776/(pH 6.5); 478/(pH 7.4)"
HW183023,C=C(F)C(=O)N1CC(N2N=C(C3=CC=C(C(F)(F)F)C=C3)C3=C2C(P(C)(C)=O)=CC=N3)C1,65.34,1.5068,H226 IC50 (nM)=25.4(180002:46.7)
HW183024,C=C(F)C(=O)N1CC(N2C(=O)N(C3=CC=C(C(F)(F)F)C=C3)C3=C2C(P(C)(C)=O)=CC=N3)C1,73.29,1.24858,"H226 IC50 (nM)=346((180002:23),176(180002:13)"
HW183022,C=C(F)C(=O)N1CC(C2=NN(C3=CC=C(C(F)(F)F)C=C3)C3=C2C(P(C)(C)=O)=CC=N3)C1,65.34,0.374251,H226 IC50 (nM)=30.3(180002:46.7)
HW183029,C=C(F)C(=O)N1CC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,52.98,1.872,"H226 IC50 (nM)=152.6(180002:46.7), 200((180002:23)
AUC0-t(h*ng/mL)=38304(mou),22979(Rat)
hERG IC50 > 30 uM
Solubility(ug/ml):563/ (pH 1.6); 584/ (pH 6.5); 345/ (pH 7.4)"
HW183027,C=C(F)C(=O)N1CC(N2N=C(C3=CCC(C(F)(F)F)CC3)C3=C2C(P(C)(C)=O)=CC=N3)C1,65.34,0.630824,"H226 IC50 (nM)=40.6((180002:46.7)
AUC0-t(h*ng/ml)=2194(mou)"
HW183026,C=CC(=O)N1CC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,52.98,1.319,H226 IC50 (nM)=852(180002:46.7);218(41)
HW183025,C=C(F)C(=O)N1CC(C2=NN(C3=CC=C(OC(F)(F)F)C=C3)C3=C2C(P(C)(C)=O)=CC=C3)C1,62.21,1.88182,H226 IC50 (nM)=70.6(180002:46.7)
HW183028,C=CC(=O)N1CCCC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,52.98,1.714,H226 IC50 (nM)>10uM(180002:46.7)
HW183032,C=CC(=O)N1CC2(CC1CO)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,73.21,0.6622,
HW183034,CC#CC(=O)N1CC(C2=NN(C3=CC=C(OC(F)(F)F)C=C3)C3=C2C(P(C)(C)=O)=CC=C3)C1,62.21,1.13382,H226 IC50 (nM)=170((180002:23)
HW183031,C=C(F)C(=O)N1CCC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,52.98,1.708,"H226 IC50 (nM)=114(180002:13)
AUC0-t(h*ng/ml)=4191(mou)"
HW183033,CN(C)CC=CC(=O)N1CC(C2=NN(C3=CC=C(OC(F)(F)F)C=C3)C3=C2C(P(C)(C)=O)=CC=C3)C1,65.45,1.64682,H226 IC50 (nM)=1071((180002:23)
HW183030,C=C(F)C(=O)N1CC(C2=NN(C3=CC=C(C(F)(F)F)C=C3)C3=C2C(C(=O)O)=CC=N3)C1,85.57,3.1032,H226 IC50 (nM)=1729(180002:13)
HW183035,O=C(N1CC(O)C1)N1CCC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,76.45,1.5245,H226 IC50 > 10 uM
HW183039,C=CC(=O)N1CCC2(CC1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2C(C(O)CO)=CC=C1,81.08,0.546801,"H226 IC50 (nM)=181(180002:80),174(32)
Solubility(ug/ml):76/ (pH 1.6); 193/ (pH 6.5); 77/ (pH 7.4)"
HW183037,CS(=O)(=O)N1CC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,70.05,0.994,H226 IC50 > 10uM
HW183036,O=C(N1CC(O)C1)N1CC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,76.45,1.75,
HW183038,CNS(=O)(=O)N1CC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,82.08,0.714,H226 IC50 (nM)=1934(180002:13)
HW183040A,C=CC(=O)NC1CC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,61.77,0.295,"H226 IC50 (nM)=21(180002:13)
AUC0-t(h*ng/mL)=1186(mou)"
HW183040B,C=CC(=O)NC1CC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,61.77,0.295,H226 IC50 (nM)=90(180002:13)
HW183041B,C=C(F)C(=O)NC1CC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,61.77,0.848,H226 IC50 (nM)=898(180002:13)
HW183041A,C=C(F)C(=O)NC1CC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,61.77,0.848,H226 IC50 (nM)=224(180002:13)
HW183042,C=C(F)C(=O)N1CC(N2N=C(C3=CC=C(C(F)(F)F)C=C3)C3=C2C(S(C)(=N)=O)=CC=C3)C1,76.83,3.39949,"H226 IC50 (nM)=19(180002:17)
Fu (%) H/R/Mou/D/Mon= 0.89/1.15/1.05/1.07/1.26"
HW183043,O=C(C1CC(O)C1)N1CCC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,73.21,0.919999,H226 IC50 > 10 uM
HW183044,C=C(F)C(=O)N1CC(C2=NN(C3=CC=C(C(F)(F)F)C=C3)C3=C2C(S(C)(=N)=O)=CC=C3)C1,76.83,2.58041,"H226 IC50 (nM)=120(180002:80),117(32)"
HW183047,C=CC(=O)N1CC(N2N=C(C3=CC=C(C(F)(F)F)C=C3)C3=C2C(S(C)(=N)=O)=CC=C3)C1,76.83,2.84649,"H226 IC50 (nM)=41(180002:17)
AUC0-t(h*ng/mL)=2854(mou)
Fu (%) H/R/Mou/D/Mon= 2.39/3.51/2.83/3.35/2.90"
HW183046,CN(C)C(=O)N1CC(C2=NN(C3=CC=C(C(F)(F)F)C=C3)C3=C2C(S(C)(=N)=O)=CC=C3)C1,80.07,2.24841,H226 IC50 > 10 uM
HW183045,C=CC(=O)N(C)C1CC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2N=CC=C1,52.98,0.711001,"H226 IC50 (nM)=16(180002:17)
AUC0-t(h*ng/mL)=2441(mou)
Fu (%) H/R/Mou/D/Mon= 11.1/14.1/10.6/10.2/13.8
Solubility(ug/ml):20.5/ (pH 1.6); 55/ (pH 6.5); 55.7/ (pH 7.4)"
HW183048,C=CC(=O)N1CCC2(C1)C(=O)N(C1=CC=C(C(F)(F)F)C=C1)C1=C2C=C(C(O)CO)C=C1,81.08,0.7108,H226 IC50 (nM)=1950(180002:41)
